Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),Unnamed: 6,Day
D1000,1/2/2025 11:25,Exercise,13:00:00,No,Yes,,D1
D1001,1/3/2025 2:52,Hydration,13:00:00,Yes,Yes,,D1
D1002,1/8/2025 13:50,Appointment,13:30:00,No,No,,D1
D1003,1/5/2025 5:16,Exercise,8:00:00,No,No,,D1
D1004,1/1/2025 4:20,Medication,11:30:00,No,No,,D1
D1005,1/20/2025 10:39,Hydration,14:30:00,No,No,,D1
D1006,1/25/2025 10:05,Medication,15:30:00,No,No,,D1
D1007,1/2/2025 21:13,Appointment,22:00:00,Yes,No,,D1
D1008,1/21/2025 15:25,Medication,12:30:00,No,No,,D1
D1009,1/15/2025 2:47,Exercise,20:30:00,Yes,Yes,,D1
D1010,1/24/2025 13:58,Appointment,20:00:00,Yes,Yes,,D2
D1011,1/10/2025 6:39,Exercise,12:30:00,Yes,Yes,,D2
D1012,1/25/2025 1:18,Appointment,10:30:00,No,No,,D2
D1013,1/6/2025 12:23,Appointment,20:30:00,No,No,,D2
D1014,1/26/2025 14:14,Hydration,13:00:00,No,No,,D2
D1015,1/7/2025 9:45,Hydration,13:00:00,No,No,,D2
D1016,1/8/2025 19:04,Appointment,7:30:00,Yes,Yes,,D2
D1017,1/21/2025 18:14,Appointment,19:30:00,Yes,Yes,,D2
D1018,1/18/2025 22:50,Medication,16:00:00,No,No,,D2
D1019,1/30/2025 20:49,Medication,13:00:00,Yes,Yes,,D2
D1020,1/29/2025 15:14,Exercise,7:00:00,Yes,No,,D3
D1021,1/12/2025 11:38,Medication,20:00:00,Yes,No,,D3
D1022,1/17/2025 2:41,Appointment,11:30:00,No,No,,D3
D1023,1/12/2025 9:28,Hydration,6:30:00,No,No,,D3
D1024,1/9/2025 15:48,Appointment,7:30:00,Yes,Yes,,D3
D1025,1/5/2025 13:05,Medication,11:30:00,Yes,Yes,,D3
D1026,1/4/2025 0:59,Medication,7:00:00,No,No,,D3
D1027,1/28/2025 7:52,Appointment,20:30:00,Yes,Yes,,D3
D1028,1/1/2025 9:40,Appointment,19:00:00,No,No,,D3
D1029,1/30/2025 21:02,Medication,15:00:00,No,No,,D3
D1030,1/7/2025 2:12,Exercise,15:00:00,No,No,,D4
D1031,1/8/2025 19:23,Medication,12:30:00,Yes,No,,D4
D1032,1/30/2025 3:43,Appointment,18:00:00,No,No,,D4
D1033,1/6/2025 20:01,Appointment,8:30:00,No,No,,D4
D1034,1/23/2025 6:47,Exercise,7:30:00,Yes,No,,D4
D1035,1/30/2025 5:07,Hydration,22:00:00,No,No,,D4
D1036,1/6/2025 2:42,Exercise,20:30:00,Yes,Yes,,D4
D1037,1/30/2025 23:40,Medication,8:00:00,Yes,Yes,,D4
D1038,1/4/2025 17:22,Hydration,15:30:00,No,No,,D4
D1039,1/8/2025 15:23,Medication,17:00:00,No,No,,D4
D1040,1/26/2025 17:52,Appointment,22:00:00,No,No,,D5
D1041,1/23/2025 5:51,Exercise,11:00:00,No,No,,D5
D1042,1/18/2025 6:29,Hydration,10:30:00,Yes,Yes,,D5
D1043,1/1/2025 19:58,Exercise,22:00:00,Yes,No,,D5
D1044,1/14/2025 0:57,Hydration,17:00:00,Yes,Yes,,D5
D1045,1/1/2025 13:42,Medication,19:00:00,Yes,Yes,,D5
D1046,1/3/2025 8:00,Medication,13:30:00,No,No,,D5
D1047,1/12/2025 16:49,Hydration,14:30:00,No,No,,D5
D1048,1/23/2025 4:07,Hydration,7:00:00,No,No,,D5
D1049,1/20/2025 19:57,Appointment,18:30:00,Yes,Yes,,D5
D1050,1/25/2025 11:04,Medication,18:00:00,Yes,Yes,,D6
D1051,1/21/2025 18:48,Exercise,12:30:00,No,No,,D6
D1052,1/5/2025 0:23,Medication,17:00:00,Yes,Yes,,D6
D1053,1/21/2025 5:21,Appointment,8:30:00,Yes,Yes,,D6
D1054,1/30/2025 10:13,Exercise,7:30:00,No,No,,D6
D1055,1/15/2025 18:23,Hydration,13:30:00,No,No,,D6
D1056,1/23/2025 23:49,Appointment,12:00:00,Yes,Yes,,D6
D1057,1/22/2025 9:22,Medication,15:00:00,No,No,,D6
D1058,1/13/2025 20:51,Exercise,21:00:00,Yes,No,,D6
D1059,1/30/2025 0:40,Appointment,10:00:00,No,No,,D6
D1060,1/28/2025 17:28,Exercise,15:00:00,No,No,,D7
D1061,1/28/2025 9:49,Hydration,10:30:00,No,No,,D7
D1062,1/27/2025 9:27,Exercise,8:30:00,Yes,Yes,,D7
D1063,1/22/2025 16:24,Medication,7:30:00,No,No,,D7
D1064,1/8/2025 13:42,Appointment,8:00:00,Yes,Yes,,D7
D1065,1/23/2025 9:40,Medication,6:30:00,Yes,Yes,,D7
D1066,1/16/2025 12:34,Exercise,18:00:00,Yes,Yes,,D7
D1067,1/3/2025 8:17,Appointment,17:30:00,Yes,Yes,,D7
D1068,1/7/2025 18:50,Exercise,21:30:00,Yes,Yes,,D7
D1069,1/27/2025 0:35,Hydration,12:00:00,No,No,,D7
D1070,1/4/2025 12:52,Hydration,10:30:00,No,No,,D8
D1071,1/30/2025 1:02,Hydration,21:00:00,No,No,,D8
D1072,1/10/2025 16:48,Exercise,19:00:00,No,No,,D8
D1073,1/21/2025 10:36,Hydration,22:00:00,Yes,No,,D8
D1074,1/28/2025 9:26,Medication,18:00:00,Yes,Yes,,D8
D1075,1/14/2025 18:56,Appointment,21:00:00,No,No,,D8
D1076,1/25/2025 9:03,Medication,22:30:00,No,No,,D8
D1077,1/19/2025 8:57,Exercise,13:30:00,Yes,Yes,,D8
D1078,1/20/2025 12:14,Appointment,12:30:00,No,No,,D8
D1079,1/28/2025 10:55,Medication,18:00:00,No,No,,D8
D1080,1/28/2025 15:48,Exercise,9:00:00,No,No,,D9
D1081,1/29/2025 4:23,Appointment,13:30:00,No,No,,D9
D1082,1/30/2025 22:16,Medication,9:00:00,Yes,Yes,,D9
D1083,1/19/2025 14:58,Medication,10:00:00,Yes,Yes,,D9
D1084,1/3/2025 21:50,Medication,20:00:00,No,No,,D9
D1085,1/19/2025 1:03,Medication,12:00:00,No,No,,D9
D1086,1/21/2025 1:15,Medication,6:30:00,No,No,,D9
D1087,1/28/2025 6:56,Hydration,22:30:00,No,No,,D9
D1088,1/18/2025 16:04,Appointment,21:30:00,No,No,,D9
D1089,1/11/2025 22:20,Exercise,14:00:00,Yes,Yes,,D9
D1090,1/14/2025 14:11,Exercise,19:00:00,No,No,,D10
D1091,1/18/2025 19:11,Exercise,15:30:00,Yes,Yes,,D10
D1092,1/21/2025 10:45,Medication,22:30:00,Yes,Yes,,D10
D1093,1/12/2025 10:42,Exercise,14:00:00,Yes,Yes,,D10
D1094,1/23/2025 22:43,Appointment,16:30:00,Yes,No,,D10
D1095,1/4/2025 23:37,Medication,17:00:00,Yes,Yes,,D10
D1096,1/8/2025 14:39,Hydration,13:30:00,No,No,,D10
D1097,1/27/2025 9:05,Medication,8:30:00,No,No,,D10
D1098,1/26/2025 5:38,Appointment,17:00:00,Yes,Yes,,D10
D1099,1/2/2025 8:10,Appointment,15:30:00,No,No,,D10
D1100,1/21/2025 11:49,Appointment,7:30:00,Yes,Yes,,D11
D1101,1/21/2025 9:39,Appointment,16:00:00,Yes,Yes,,D11
D1102,1/7/2025 19:34,Appointment,6:00:00,No,No,,D11
D1103,1/24/2025 17:25,Medication,6:30:00,Yes,Yes,,D11
D1104,1/16/2025 5:06,Appointment,20:00:00,No,No,,D11
D1105,1/19/2025 17:29,Appointment,13:30:00,No,No,,D11
D1106,1/27/2025 11:07,Appointment,16:30:00,No,No,,D11
D1107,1/24/2025 11:04,Appointment,14:30:00,Yes,Yes,,D11
D1108,1/3/2025 16:59,Hydration,9:30:00,No,No,,D11
D1109,1/18/2025 14:11,Exercise,6:30:00,Yes,No,,D11
D1110,1/5/2025 17:34,Medication,11:30:00,Yes,No,,D12
D1111,1/30/2025 11:51,Medication,15:30:00,No,No,,D12
D1112,1/30/2025 0:52,Appointment,9:00:00,No,No,,D12
D1113,1/21/2025 18:02,Appointment,11:30:00,No,No,,D12
D1114,1/18/2025 6:40,Hydration,16:30:00,Yes,Yes,,D12
D1115,1/15/2025 3:42,Medication,13:30:00,Yes,Yes,,D12
D1116,1/22/2025 23:43,Hydration,21:00:00,Yes,Yes,,D12
D1117,1/14/2025 10:43,Exercise,17:00:00,No,No,,D12
D1118,1/21/2025 17:37,Hydration,7:00:00,Yes,Yes,,D12
D1119,1/25/2025 7:47,Exercise,15:30:00,Yes,Yes,,D12
D1120,1/21/2025 20:25,Exercise,7:30:00,Yes,Yes,,D13
D1121,1/12/2025 17:07,Hydration,6:00:00,No,No,,D13
D1122,1/3/2025 0:06,Exercise,18:30:00,No,No,,D13
D1123,1/14/2025 5:56,Appointment,13:00:00,No,No,,D13
D1124,1/12/2025 20:35,Exercise,9:30:00,No,No,,D13
D1125,1/25/2025 21:37,Hydration,11:30:00,Yes,Yes,,D13
D1126,1/27/2025 16:45,Appointment,14:30:00,No,No,,D13
D1127,1/14/2025 5:46,Appointment,12:30:00,Yes,Yes,,D13
D1128,1/27/2025 5:53,Medication,6:30:00,Yes,No,,D13
D1129,1/23/2025 20:51,Hydration,6:30:00,Yes,Yes,,D13
D1130,1/27/2025 13:22,Appointment,15:30:00,Yes,Yes,,D14
D1131,1/7/2025 18:54,Medication,11:30:00,Yes,Yes,,D14
D1132,1/18/2025 3:04,Medication,8:00:00,No,No,,D14
D1133,1/1/2025 16:53,Hydration,14:30:00,Yes,Yes,,D14
D1134,1/3/2025 10:15,Medication,13:30:00,Yes,Yes,,D14
D1135,1/4/2025 6:20,Appointment,15:00:00,Yes,Yes,,D14
D1136,1/8/2025 20:05,Medication,7:30:00,No,No,,D14
D1137,1/1/2025 0:57,Exercise,18:30:00,No,No,,D14
D1138,1/19/2025 13:49,Hydration,22:30:00,No,No,,D14
D1139,1/17/2025 10:01,Exercise,7:30:00,Yes,Yes,,D14
D1140,1/11/2025 14:32,Exercise,17:30:00,No,No,,D15
D1141,1/4/2025 23:31,Exercise,16:00:00,Yes,No,,D15
D1142,1/25/2025 10:48,Medication,19:00:00,Yes,Yes,,D15
D1143,1/11/2025 10:33,Medication,11:30:00,Yes,Yes,,D15
D1144,1/28/2025 19:18,Appointment,8:00:00,Yes,Yes,,D15
D1145,1/6/2025 8:32,Appointment,10:00:00,No,No,,D15
D1146,1/16/2025 10:33,Hydration,7:00:00,No,No,,D15
D1147,1/13/2025 23:41,Exercise,8:30:00,Yes,Yes,,D15
D1148,1/20/2025 1:51,Hydration,12:30:00,No,No,,D15
D1149,1/25/2025 12:31,Medication,19:00:00,No,No,,D15
D1150,1/13/2025 15:27,Medication,14:30:00,No,No,,D16
D1151,1/21/2025 2:30,Exercise,15:30:00,No,No,,D16
D1152,1/27/2025 10:44,Appointment,13:30:00,No,No,,D16
D1153,1/22/2025 23:11,Medication,19:00:00,No,No,,D16
D1154,1/14/2025 4:34,Exercise,21:00:00,Yes,Yes,,D16
D1155,1/13/2025 6:30,Medication,9:00:00,Yes,Yes,,D16
D1156,1/13/2025 7:51,Medication,12:30:00,Yes,Yes,,D16
D1157,1/6/2025 23:02,Medication,7:30:00,Yes,Yes,,D16
D1158,1/13/2025 10:47,Medication,20:30:00,No,No,,D16
D1159,1/1/2025 14:40,Hydration,17:00:00,No,No,,D16
D1160,1/21/2025 21:44,Appointment,12:30:00,Yes,Yes,,D17
D1161,1/20/2025 0:21,Exercise,16:00:00,Yes,No,,D17
D1162,1/26/2025 10:44,Hydration,15:30:00,Yes,Yes,,D17
D1163,1/1/2025 3:48,Hydration,15:30:00,No,No,,D17
D1164,1/16/2025 19:59,Exercise,20:00:00,No,No,,D17
D1165,1/24/2025 20:08,Exercise,15:00:00,Yes,Yes,,D17
D1166,1/20/2025 4:12,Appointment,17:30:00,No,No,,D17
D1167,1/16/2025 5:15,Exercise,14:00:00,Yes,Yes,,D17
D1168,1/18/2025 5:29,Hydration,20:00:00,Yes,Yes,,D17
D1169,1/26/2025 12:18,Medication,22:30:00,Yes,No,,D17
D1170,1/19/2025 19:51,Appointment,21:30:00,Yes,Yes,,D18
D1171,1/19/2025 23:24,Hydration,15:00:00,No,No,,D18
D1172,1/29/2025 8:35,Appointment,14:00:00,No,No,,D18
D1173,1/22/2025 9:30,Medication,14:00:00,Yes,Yes,,D18
D1174,1/15/2025 22:39,Exercise,19:00:00,No,No,,D18
D1175,1/24/2025 16:12,Exercise,6:00:00,Yes,No,,D18
D1176,1/30/2025 15:02,Appointment,8:30:00,Yes,No,,D18
D1177,1/24/2025 1:27,Medication,6:30:00,No,No,,D18
D1178,1/18/2025 3:37,Exercise,16:00:00,Yes,Yes,,D18
D1179,1/22/2025 21:26,Hydration,21:00:00,No,No,,D18
D1180,1/7/2025 20:19,Exercise,11:00:00,Yes,Yes,,D19
D1181,1/10/2025 10:19,Exercise,13:00:00,Yes,Yes,,D19
D1182,1/24/2025 12:12,Appointment,9:00:00,No,No,,D19
D1183,1/7/2025 2:26,Medication,17:30:00,Yes,Yes,,D19
